Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Hubei,China,3/23/2020,67800,3144,59433,30.9756,112.2707
,Italy,3/23/2020,59138,5476,7024,41.8719,12.5674
,Spain,3/23/2020,28768,1772,2575,40.4637,-3.7492
,Germany,3/23/2020,24873,94,266,51.1657,10.4515
,Iran,3/23/2020,21638,1685,7931,32.4279,53.6880
France,France,3/23/2020,16018,674,2200,46.2276,2.2137
New York,US,3/23/2020,15793,117,0,42.1657,-74.9481
,"Korea, South",3/23/2020,8897,104,2909,35.9078,127.7669
,Switzerland,3/23/2020,7245,98,131,46.8182,8.2275
United Kingdom,United Kingdom,3/23/2020,5683,281,65,55.3781,-3.4360
Netherlands,Netherlands,3/23/2020,4204,179,2,52.1326,5.2913
,Belgium,3/23/2020,3401,75,263,50.5039,4.4699
,Austria,3/23/2020,3244,16,9,47.5162,14.5501
,Norway,3/23/2020,2383,7,1,60.4720,8.4689
Washington,US,3/23/2020,1996,95,0,47.4009,-121.4905
,Sweden,3/23/2020,1934,21,16,60.1282,18.6435
New Jersey,US,3/23/2020,1914,20,0,40.2989,-74.5210
California,US,3/23/2020,1642,30,0,36.1162,-119.6816
,Portugal,3/23/2020,1600,14,5,39.3999,-8.2245
,Brazil,3/23/2020,1593,25,2,-14.2350,-51.9253
Guangdong,China,3/23/2020,1407,8,1329,23.3417,113.4244
Denmark,Denmark,3/23/2020,1395,13,1,56.2639,9.5018
,Malaysia,3/23/2020,1306,10,139,4.2105,101.9758
Henan,China,3/23/2020,1273,22,1250,33.8820,113.6140
Zhejiang,China,3/23/2020,1237,1,1219,29.1832,120.0934
,Turkey,3/23/2020,1236,30,0,38.9637,35.2433
,Czechia,3/23/2020,1120,1,6,49.8175,15.4730
,Japan,3/23/2020,1086,40,235,36.2048,138.2529
,Israel,3/23/2020,1071,1,37,31.0461,34.8516
Illinois,US,3/23/2020,1049,9,0,40.3495,-88.9861
Michigan,US,3/23/2020,1037,9,0,43.3266,-84.5361
Hunan,China,3/23/2020,1018,4,1014,27.6104,111.7088
Anhui,China,3/23/2020,990,6,984,31.8257,117.2264
Jiangxi,China,3/23/2020,936,1,934,27.6140,115.7221
,Ireland,3/23/2020,906,4,5,53.1424,-7.6921
Louisiana,US,3/23/2020,837,20,0,31.1695,-91.8678
Florida,US,3/23/2020,830,13,0,27.7663,-81.6868
,Luxembourg,3/23/2020,798,8,6,49.8153,6.1296
,Ecuador,3/23/2020,789,14,3,-1.8312,-78.1834
,Pakistan,3/23/2020,776,5,5,30.3753,69.3451
Shandong,China,3/23/2020,766,7,750,36.3427,118.1498
Diamond Princess,Cruise Ship,3/23/2020,712,8,325,35.4498,139.6649
Massachusetts,US,3/23/2020,646,5,0,42.2302,-71.5301
,Poland,3/23/2020,634,7,1,51.9194,19.1451
Jiangsu,China,3/23/2020,633,0,631,32.9711,119.4550
,Chile,3/23/2020,632,1,8,-35.6751,-71.5430
Texas,US,3/23/2020,627,6,0,31.0545,-97.5635
,Finland,3/23/2020,626,1,10,61.9241,25.7482
,Greece,3/23/2020,624,15,19,39.0742,21.8243
Georgia,US,3/23/2020,600,23,0,33.0406,-83.6431
,Thailand,3/23/2020,599,1,44,15.8700,100.9925
Chongqing,China,3/23/2020,577,6,570,30.0572,107.8740
,Iceland,3/23/2020,568,1,36,64.9631,-19.0208
Sichuan,China,3/23/2020,543,3,536,30.6171,102.7103
New South Wales,Australia,3/23/2020,533,6,4,-33.8688,151.2093
Beijing,China,3/23/2020,514,8,400,40.1824,116.4142
,Indonesia,3/23/2020,514,48,29,-0.7893,113.9213
,Saudi Arabia,3/23/2020,511,0,16,23.8859,45.0792
Pennsylvania,US,3/23/2020,509,3,0,40.5908,-77.2098
Tennessee,US,3/23/2020,505,2,0,35.7478,-86.6923
,Qatar,3/23/2020,494,0,33,25.3548,51.1839
Heilongjiang,China,3/23/2020,484,13,466,47.8620,127.7615
Colorado,US,3/23/2020,476,6,0,39.0598,-105.3111
,Singapore,3/23/2020,455,2,144,1.3521,103.8198
,Romania,3/23/2020,433,3,64,45.9432,24.9668
Ontario,Canada,3/23/2020,425,5,6,51.2538,-85.3232
British Columbia,Canada,3/23/2020,424,10,4,53.7267,-127.6476
,Slovenia,3/23/2020,414,2,0,46.1512,14.9955
,India,3/23/2020,396,7,27,20.5937,78.9629
Shanghai,China,3/23/2020,394,4,328,31.2020,121.4491
Wisconsin,US,3/23/2020,381,4,0,44.2685,-89.6165
,Philippines,3/23/2020,380,25,17,12.8797,121.7740
,Russia,3/23/2020,367,0,16,61.5240,105.3188
,Peru,3/23/2020,363,5,1,-9.1900,-75.0152
Ohio,US,3/23/2020,355,3,0,40.3888,-82.7649
,Bahrain,3/23/2020,332,2,149,26.0667,50.5577
,Egypt,3/23/2020,327,14,56,26.8206,30.8025
,Estonia,3/23/2020,326,0,2,58.5953,25.0136
Hebei,China,3/23/2020,319,6,310,38.0428,114.5149
Hong Kong,China,3/23/2020,317,4,100,22.3000,114.2000
Fujian,China,3/23/2020,307,1,295,26.0789,117.9874
North Carolina,US,3/23/2020,302,0,0,35.6301,-79.8064
Victoria,Australia,3/23/2020,296,0,70,-37.8136,144.9631
,South Africa,3/23/2020,402,0,0,-30.5595,22.9375
Alberta,Canada,3/23/2020,259,1,0,53.9333,-116.5765
Guangxi,China,3/23/2020,254,2,250,23.8298,108.7881
,Croatia,3/23/2020,254,1,5,45.1000,15.2000
,Mexico,3/23/2020,251,2,4,23.6345,-102.5528
Shaanxi,China,3/23/2020,248,3,239,35.1917,108.8701
,Lebanon,3/23/2020,248,4,8,33.8547,35.8623
,Panama,3/23/2020,245,3,0,8.5380,-80.7821
Maryland,US,3/23/2020,244,3,0,39.0639,-76.8021
,Iraq,3/23/2020,233,20,57,33.2232,43.6793
,Colombia,3/23/2020,231,2,3,4.5709,-74.2973
,Argentina,3/23/2020,225,4,3,-38.4161,-63.6167
Connecticut,US,3/23/2020,223,5,0,41.5978,-72.7554
,Serbia,3/23/2020,222,2,1,44.0165,21.0059
Queensland,Australia,3/23/2020,221,0,8,-28.0167,153.4000
Virginia,US,3/23/2020,221,6,0,37.7693,-78.1700
Quebec,Canada,3/23/2020,219,5,0,52.9399,-73.5491
Mississippi,US,3/23/2020,207,1,0,32.7416,-89.6787
,Dominican Republic,3/23/2020,202,3,0,18.7357,-70.1627
,Algeria,3/23/2020,201,17,65,28.0339,1.6596
Indiana,US,3/23/2020,201,6,0,39.8494,-86.2583
South Carolina,US,3/23/2020,196,3,0,33.8569,-80.9450
,Armenia,3/23/2020,194,0,2,40.0691,45.0382
Nevada,US,3/23/2020,190,2,0,38.3135,-117.0554
,Kuwait,3/23/2020,188,0,27,29.3117,47.4818
,Bulgaria,3/23/2020,187,3,3,42.7339,25.4858
,Slovakia,3/23/2020,185,1,7,48.6690,19.6990
Utah,US,3/23/2020,181,1,0,40.1500,-111.8624
Yunnan,China,3/23/2020,176,2,172,24.9740,101.4870
,Taiwan*,3/23/2020,169,2,28,23.7000,121.0000
Minnesota,US,3/23/2020,169,1,0,45.6945,-93.9002
Hainan,China,3/23/2020,168,6,161,19.1959,109.7453
Arkansas,US,3/23/2020,165,0,0,34.9697,-92.3731
Oregon,US,3/23/2020,161,4,0,44.5720,-122.0709
,San Marino,3/23/2020,160,20,4,43.9424,12.4578
,United Arab Emirates,3/23/2020,153,2,38,23.4241,53.8478
Arizona,US,3/23/2020,152,2,0,33.7298,-111.4312
Guizhou,China,3/23/2020,146,2,144,26.8154,106.8748
,Latvia,3/23/2020,139,0,1,56.8796,24.6032
Alabama,US,3/23/2020,138,0,0,32.3182,-86.9023
Tianjin,China,3/23/2020,137,3,133,39.3054,117.3230
Gansu,China,3/23/2020,136,2,114,36.0611,103.8343
,Uruguay,3/23/2020,135,0,0,-32.5228,-55.7658
,Costa Rica,3/23/2020,134,2,2,9.7489,-83.7534
Shanxi,China,3/23/2020,133,0,133,37.5777,112.2922
,Hungary,3/23/2020,131,6,16,47.1625,19.5033
,Lithuania,3/23/2020,131,1,1,55.1694,23.8813
,Bosnia and Herzegovina,3/23/2020,126,1,2,43.9159,17.6791
Liaoning,China,3/23/2020,126,2,124,41.2956,122.6085
Western Australia,Australia,3/23/2020,120,1,0,-31.9505,115.8605
Faroe Islands,Denmark,3/23/2020,115,0,0,61.8926,-6.9118
,Morocco,3/23/2020,115,4,3,31.7917,-7.0926
,North Macedonia,3/23/2020,114,1,1,41.6086,21.7453
,Andorra,3/23/2020,113,1,1,42.5063,1.5218
,Vietnam,3/23/2020,113,0,17,14.0583,108.2772
,Jordan,3/23/2020,112,0,1,30.5852,36.2384
District of Columbia,US,3/23/2020,102,2,0,38.8974,-77.0268
South Australia,Australia,3/23/2020,100,0,3,-34.9285,138.6007
Missouri,US,3/23/2020,100,3,0,38.4561,-92.2884
Kentucky,US,3/23/2020,99,3,0,37.6681,-84.6701
,Cyprus,3/23/2020,95,1,3,35.1264,33.4299
,Moldova,3/23/2020,94,1,1,47.4116,28.3699
Jilin,China,3/23/2020,93,1,92,43.6661,126.1923
,Malta,3/23/2020,90,0,2,35.9375,14.3754
Iowa,US,3/23/2020,90,0,0,42.0115,-93.2105
,Albania,3/23/2020,89,2,2,41.1533,20.1683
Maine,US,3/23/2020,89,0,0,44.6939,-69.3819
,Brunei,3/23/2020,88,0,2,4.5353,114.7277
,Cambodia,3/23/2020,84,0,1,12.5657,104.9910
Rhode Island,US,3/23/2020,83,0,0,41.6809,-71.5118
,Sri Lanka,3/23/2020,82,0,3,7.8731,80.7718
,Belarus,3/23/2020,76,0,15,53.7098,27.9534
Xinjiang,China,3/23/2020,76,3,73,41.1129,85.2401
,Burkina Faso,3/23/2020,75,4,5,12.2383,-1.5616
Inner Mongolia,China,3/23/2020,75,1,74,44.0935,113.9448
Ningxia,China,3/23/2020,75,0,75,37.2692,106.1655
,Tunisia,3/23/2020,75,3,1,33.8869,9.5375
,Ukraine,3/23/2020,73,3,1,48.3794,31.1656
,Venezuela,3/23/2020,70,0,15,6.4238,-66.5897
,Senegal,3/23/2020,67,0,5,14.4974,-14.4524
Oklahoma,US,3/23/2020,67,2,0,35.5653,-96.9289
,New Zealand,3/23/2020,66,0,0,-40.9006,174.8860
,Azerbaijan,3/23/2020,65,1,10,40.1431,47.5769
New Hampshire,US,3/23/2020,65,0,0,43.4525,-71.5639
Kansas,US,3/23/2020,64,2,0,38.5266,-96.7265
,Kazakhstan,3/23/2020,60,0,0,48.0196,66.9237
New Mexico,US,3/23/2020,57,0,0,34.8405,-106.2485
,Guadeloupe,3/23/2020,56,0,0,16.2650,-61.5510
,Oman,3/23/2020,55,0,17,21.4735,55.9754
,Georgia,3/23/2020,54,0,3,42.3154,43.3569
Saskatchewan,Canada,3/23/2020,52,0,0,52.9399,-106.4509
Vermont,US,3/23/2020,52,2,0,44.0459,-72.7107
Nebraska,US,3/23/2020,51,0,0,41.1254,-98.2681
,Trinidad and Tobago,3/23/2020,50,0,1,10.6918,-61.2225
Diamond Princess,US,3/23/2020,49,0,0,35.4437,139.6380
Hawaii,US,3/23/2020,48,0,0,21.0943,-157.4983
,Reunion,3/23/2020,47,0,0,-21.1151,55.5364
Delaware,US,3/23/2020,47,0,0,39.3185,-75.5071
,Uzbekistan,3/23/2020,43,0,0,41.3775,64.5853
Idaho,US,3/23/2020,42,0,0,44.2405,-114.4788
,Afghanistan,3/23/2020,40,1,1,33.9391,67.7100
,Cameroon,3/23/2020,40,0,0,3.8480,11.5021
,Liechtenstein,3/23/2020,37,0,0,47.1660,9.5554
,Martinique,3/23/2020,37,1,0,14.6415,-61.0242
,Cuba,3/23/2020,35,1,0,21.5218,-77.7812
Channel Islands,United Kingdom,3/23/2020,32,0,0,49.3723,-2.3644
Montana,US,3/23/2020,31,0,0,46.9219,-110.4544
,Congo (Kinshasa),3/23/2020,30,1,0,-4.0383,21.7587
,Nigeria,3/23/2020,30,0,2,9.0820,8.6753
Grand Princess,US,3/23/2020,30,1,0,37.6489,-122.6655
Nova Scotia,Canada,3/23/2020,28,0,0,44.6820,-63.7443
North Dakota,US,3/23/2020,28,0,0,47.5289,-99.7840
,Bangladesh,3/23/2020,27,2,3,23.6850,90.3563
Guam,US,3/23/2020,27,1,0,13.4443,144.7937
,Honduras,3/23/2020,26,0,0,15.2000,-86.2419
,Bolivia,3/23/2020,24,0,0,-16.2902,-63.5887
,Ghana,3/23/2020,24,1,0,7.9465,-1.0232
Wyoming,US,3/23/2020,24,0,0,42.7560,-107.3025
,Monaco,3/23/2020,23,0,1,43.7384,7.4246
Puerto Rico,US,3/23/2020,23,1,0,18.2208,-66.5901
Tasmania,Australia,3/23/2020,22,0,3,-41.4545,145.9707
,Paraguay,3/23/2020,22,1,0,-23.4425,-58.4438
,Montenegro,3/23/2020,21,0,0,42.7087,19.3744
Alaska,US,3/23/2020,21,0,0,61.3707,-152.4044
South Dakota,US,3/23/2020,21,1,0,44.2998,-99.4388
Macau,China,3/23/2020,20,0,10,22.1667,113.5500
Australian Capital Territory,Australia,3/23/2020,19,0,0,-35.4735,149.0124
Manitoba,Canada,3/23/2020,19,0,0,53.7609,-98.8139
,Guatemala,3/23/2020,19,1,0,15.7835,-90.2308
,Rwanda,3/23/2020,19,0,0,-1.9403,29.8739
Qinghai,China,3/23/2020,18,0,18,35.7452,95.9956
,French Guiana,3/23/2020,18,0,6,3.9339,-53.1258
,Mauritius,3/23/2020,18,1,0,-20.3484,57.5522
New Brunswick,Canada,3/23/2020,17,0,0,46.5653,-66.4619
,Jamaica,3/23/2020,16,1,2,18.1096,-77.2975
,Togo,3/23/2020,16,0,1,8.6195,0.8248
French Polynesia,France,3/23/2020,15,0,0,-17.6797,-149.4068
,Kenya,3/23/2020,15,0,0,-0.0236,37.9062
Gibraltar,United Kingdom,3/23/2020,15,0,2,36.1408,-5.3536
,Barbados,3/23/2020,14,0,0,13.1939,-59.5432
,Cote d'Ivoire,3/23/2020,14,0,1,7.5400,-5.5471
,Kyrgyzstan,3/23/2020,14,0,0,41.2044,74.7661
Grand Princess,Canada,3/23/2020,13,0,0,37.6489,-122.6655
,Maldives,3/23/2020,13,0,0,3.2028,73.2207
,Tanzania,3/23/2020,12,0,0,-6.3690,34.8888
West Virginia,US,3/23/2020,12,0,0,38.4912,-80.9545
,Ethiopia,3/23/2020,11,0,4,9.1450,40.4897
,Mayotte,3/23/2020,11,0,0,-12.8275,45.1662
,Mongolia,3/23/2020,10,0,0,46.8625,103.8467
Aruba,Netherlands,3/23/2020,8,0,0,12.5211,-69.9683
,Guyana,3/23/2020,7,1,0,4.8604,-58.9302
,Seychelles,3/23/2020,7,0,0,-4.6796,55.4920
Newfoundland and Labrador,Canada,3/23/2020,6,0,0,53.1355,-57.6604
,Equatorial Guinea,3/23/2020,6,0,0,1.6508,10.2679
United States Virgin Islands,US,3/23/2020,6,0,0,18.3358,-64.8963
,Gabon,3/23/2020,5,1,0,-0.8037,11.6094
,Suriname,3/23/2020,5,0,0,3.9193,-56.0278
Isle of Man,United Kingdom,3/23/2020,5,0,0,54.2361,-4.5481
,"Bahamas, The",3/23/2020,4,0,0,25.0343,-77.3963
Greenland,Denmark,3/23/2020,4,0,0,71.7069,-42.6043
,Eswatini,3/23/2020,4,0,0,-26.5225,31.4659
New Caledonia,France,3/23/2020,4,0,0,-20.9043,165.6180
St Martin,France,3/23/2020,4,0,0,18.0708,-63.0501
Northern Territory,Australia,3/23/2020,3,0,0,-12.4634,130.8456
,Cabo Verde,3/23/2020,3,0,0,16.5388,-23.0418
,Central African Republic,3/23/2020,3,0,0,6.6111,20.9394
,Congo (Brazzaville),3/23/2020,3,0,0,-0.2280,15.8277
,El Salvador,3/23/2020,3,0,0,13.7942,-88.8965
Saint Barthelemy,France,3/23/2020,3,0,0,17.9000,-62.8333
,Liberia,3/23/2020,3,0,0,6.4281,-9.4295
,Madagascar,3/23/2020,3,0,0,-18.7669,46.8691
,Namibia,3/23/2020,3,0,0,-22.9576,18.4904
Curacao,Netherlands,3/23/2020,3,1,0,12.1696,-68.9900
Cayman Islands,United Kingdom,3/23/2020,3,1,0,19.3133,-81.2546
,Zambia,3/23/2020,3,0,0,-13.1339,27.8493
,Zimbabwe,3/23/2020,3,0,0,-19.0154,29.1549
,Angola,3/23/2020,2,0,0,-11.2027,17.8739
,Benin,3/23/2020,2,0,0,9.3077,2.3158
,Bhutan,3/23/2020,2,0,0,27.5142,90.4336
Prince Edward Island,Canada,3/23/2020,2,0,0,46.5107,-63.4168
,Fiji,3/23/2020,2,0,0,-17.7134,178.0650
,Guinea,3/23/2020,2,0,0,9.9456,-9.6966
,Haiti,3/23/2020,2,0,0,18.9712,-72.2852
,Kosovo,3/23/2020,2,0,0,42.6026,20.9030
,Mauritania,3/23/2020,2,0,0,21.0079,-10.9408
,Nepal,3/23/2020,2,0,1,28.3949,84.1240
,Nicaragua,3/23/2020,2,0,0,12.8654,-85.2072
,Niger,3/23/2020,2,0,0,17.6078,8.0817
,Saint Lucia,3/23/2020,2,0,0,13.9094,-60.9789
,Sudan,3/23/2020,2,1,0,12.8628,30.2176
Bermuda,United Kingdom,3/23/2020,2,0,0,32.3078,-64.7505
,Antigua and Barbuda,3/23/2020,1,0,0,17.0608,-61.7964
Northwest Territories,Canada,3/23/2020,1,0,0,64.8255,-124.8457
,Chad,3/23/2020,1,0,0,15.4542,18.7322
Tibet,China,3/23/2020,1,0,1,31.6927,88.0924
,Djibouti,3/23/2020,1,0,0,11.8251,42.5903
,Dominica,3/23/2020,1,0,0,15.4150,-61.3710
,Eritrea,3/23/2020,1,0,0,15.1794,39.7823
,"Gambia, The",3/23/2020,1,0,0,13.4432,-15.3101
,Grenada,3/23/2020,1,0,0,12.1165,-61.6790
,Holy See,3/23/2020,1,0,0,41.9029,12.4534
,Mozambique,3/23/2020,1,0,0,-18.6657,35.5296
Sint Maarten,Netherlands,3/23/2020,1,0,0,18.0425,-63.0548
,Papua New Guinea,3/23/2020,1,0,0,-6.3150,143.9555
,Saint Vincent and the Grenadines,3/23/2020,1,0,0,12.9843,-61.2872
,Somalia,3/23/2020,1,0,0,5.1521,46.1996
,Syria,3/23/2020,1,0,0,34.8021,38.9968
,Timor-Leste,3/23/2020,1,0,0,-8.8742,125.7275
US,US,3/23/2020,1,0,178,37.0902,-95.7129
,Uganda,3/23/2020,1,0,0,1.3733,32.2903
Montserrat,United Kingdom,3/23/2020,1,0,0,16.7425,-62.1874
From Diamond Princess,Australia,3/23/2020,0,0,0,35.4437,139.6380
,Cape Verde,3/23/2020,0,0,0,15.1111,-23.6167
,East Timor,3/23/2020,0,0,0,-8.5500,125.5600
French Guiana,France,3/23/2020,0,0,0,4.0000,-53.0000
Guadeloupe,France,3/23/2020,0,0,0,16.2500,-61.5833
Mayotte,France,3/23/2020,0,0,0,-12.8431,45.1383
Reunion,France,3/23/2020,0,0,0,-21.1351,55.2471
,Greenland,3/23/2020,0,0,0,72.0000,-40.0000
,Guam,3/23/2020,0,1,0,13.4443,144.7937
,Guernsey,3/23/2020,0,0,0,49.4500,-2.5800
,Jersey,3/23/2020,0,0,0,49.1900,-2.1100
,Puerto Rico,3/23/2020,0,1,0,18.2000,-66.5000
,Republic of the Congo,3/23/2020,0,0,0,-1.4400,15.5560
,The Bahamas,3/23/2020,0,0,0,24.2500,-76.0000
,The Gambia,3/23/2020,0,0,0,13.4667,-16.6000
KwaZulu Natal,,3/23/2020,60,0,0,-29.0000,31.0000
Gauteng,,3/23/2020,207,0,0,-26.0000,28.0000
Western Cape,,3/23/2020,100,0,0,-34.0000,20.0000
Eastern Cape,,3/23/2020,2,0,0,-32.0000,27.0000
Northern Cape,,3/23/2020,2,0,0,-30.0000,22.0000
Limpopo,,3/23/2020,4,0,0,-24.0000,29.0000
Mpumalanga,,3/23/2020,9,0,0,-26.0000,30.0000
North West,,3/23/2020,4,0,0,-27.0000,26.0000
Free State,,3/23/2020,13,0,0,-28.0000,27.0000
